EAN,Merk,Product,Categorie,Volume,Aantal,Inkoopprijs,Minimaal,Maximaal,Winkelprijs,Winstlaag,Winsthoog,SKU,Notities
701666111061,Amouage,Jubilation 2,EDP,50 ml,0,78.03,134.95,139.95,265.18,12.67371901,16.26876033,AMO4512,
701666024194,Amouage,Library Coll,EDP,100 ml,0,99.41,164.95,174.95,336.58,12.86396694,20.05404959,AMO4513,
701666028888,Amouage,Library Coll,EDP,100 ml,0,104.39,179.95,189.95,336.58,18.66909091,25.85917355,AMO4514,Bemiddeling - �10.62
701666262008,Amouage,Lilac Love W,EDP,100 ml,0,90.98,194.95,204.95,355.4,42.86421488,50.05429752,AMO4507,Bemiddeling - �8.99 | Granbello �210
701666313120,Amouage,Memoir Woman,EDP,100 ml,0,80,197.95,295.78,-86.32644628,56.00123967,AMO4501,,undefined
701666311171,Amouage,Reflection W,EDP,100 ml,0,98.12,164.95,174.95,280.48,14.15396694,21.34404959,AMO4515,
3552576200102,Annayake,An'na,EDP,100 ml,0,34.95,59.95,64.95,91.7,1.828099174,5.423140496,ANN4105,Bol.com �58
3552575001106,Annayake,Love Her,EDT,100 ml,0,59.95,79.9,-6.326446281,36.77809917,ANN4100,,undefined,undefined
3552575002004,Annayake,Matsuri,EDT,100 ml,0,56.95,76.99,-6.326446281,34.62107438,ANN4101,,undefined,undefined
3552576100105,Annayake,Miyabi Man,EDT,100 ml,0,29.95,53.95,58.95,81.6,2.514049587,6.109090909,ANN4103,Parfumloods �54.95
3552575000857,Annayake,Natsumi,EDT,100 ml,0,31,55.95,60.95,72.02,2.902066116,6.497107438,ANN4104,Parfum Offers �58.60
3552575200103,Annayake,Undo,EDT,100 ml,0,46.95,66.99,-6.326446281,27.43099174,ANN4102,,undefined,undefined
22548006719,Aramis,Classic,EDT,110 ml,0,29.16,30.95,81.95,-35.48644628,-13.2331405,ARA2551,,undefined
22548268117,Aramis,Classic Gift,Afters,120 ml,0,39.95,86.5,-6.326446281,22.39793388,ARA2552,,undefined,undefined
22548323281,Aramis,Classic Gift,EDT,60 ml ,0,32.95,66.5,-6.326446281,17.36487603,ARA2553,,undefined,undefined
22548094044,Aramis,Life,Afters,100 ml,0,38.95,119.95,-6.326446281,21.67892562,ARI9800,,undefined,undefined
3614271992932,Armani,Acqua di Gio,EDP,125 ml,0,56,94.95,99.95,117.42,5.94338843,9.538429752,ARM5329,
3614271992932,Armani,Acqua di Gio,EDP,125 ml,22,62,-68.32,-68.32644628,75 ml �80.10,undefined,undefined,undefined,undefined
3614271992901,Armani,Acqua di Gio,EDP,75 ml,0,48.5,80.95,97.42,-54.82644628,3.377272727,ARM5327,,undefined
3360372058885,Armani,Acqua di Gio,After ,100 ml,0,31,58.95,78.95,-37.32644628,5.059090909,ARM5241,,undefined
3360372062196,Armani,Acqua di Gio,0,28.52,52.5,59.95,68.35,2.901487603,8.258099174,ARM5334,,undefined,undefined
3360372062196,Armani,Acqua di Gio,0,29.95,52.95,56.95,69.03,1.795041322,4.67107438,ARM5349,ParfumMaster �54,undefined,undefined
3360372058885,Armani,Acqua di Gio,ASL,100 ml,0,34.5,58.95,63.95,69.03,1.559090909,5.154132231,ARM5350,ParfumAmor �55.80
3360372058892,Armani,Acqua di Gio,0,18.5,34.95,45.03,-24.82,0.302892562,ARM5351,Prijslimiet �34.95 | Aretha �34.91 ,undefined,undefined,undefined
3360372060734,Armani,Acqua di Gio,0,15.5,30.95,32.95,35.37,0.426859504,1.864876033,ARM5356,Prijslimiet �30.95 | Poelman �25.50,undefined,undefined
3360372060734,Armani,Acqua di Gio,10,14.73,-21.0,-21.05,,undefined,undefined,undefined,undefined,undefined,undefined
3360372058878,Armani,Acqua di Gio,EDT,100 ml,0,67.95,97.5,-6.326446281,42.53016529,ARM5242,Bol.com �69.92,undefined,undefined
3360372078500,Armani,Acqua di Gio,EDT,200 ml,0,55,91.95,94.95,143.06,4.786363636,6.94338843,ARM5299,Bol.com �96.89
3360372058939,Armani,Acqua di Gio,EDT,30 ml,0,22,43.5,56.5,-28.32644628,2.950413223,ARM5243,,undefined
3542114600211,Armani,Acqua Di Gio,EDT,30 ml,12,19,-25.32,-25.32644628,,undefined,undefined,undefined,undefined
3360372058861,Armani,Acqua di Gio,EDT,50 ml,0,29.75,49.5,69.5,-36.07644628,-0.48553719,ARM5244,,undefined
3605521419439,Armani,Acqua di Gio,EDP,180 ml,0,127.95,146.5,-6.326446281,85.67066116,ARM5305,,undefined,undefined
3605521530332,Armani,Acqua di Gio,EDP,40 ml,0,28,52.95,74.95,-34.32644628,3.745041322,ARM5240,,undefined
3605521419378,Armani,Acqua di Gio,EDP,75 ml,0,69.95,96.46,-6.326446281,43.96818182,ARM5306,,undefined,undefined
